Nitrogen (mg/kg),Fosfor (mg/kg),Kalium (mg/kg),pH,Kelembapan (%),Suhu (°C),EC (dS/m),Salinitas (ppt),TDS (ppm),Kondisi Tanah,Rekomendasi Tindakan
324,1442,1158,5.64,19.07,32.59,4.49,438.93,5283.66,Buruk,"tambahkan pupuk banyak, tambahkan air"
1543,273,1561,8.6,21.62,15.59,9.28,699.58,4840.99,Buruk,"tambahkan pupuk dikit, tambahkan air"
874,1882,411,4.91,27.72,21.32,3.03,207.32,721.55,Buruk,"tambahkan pupuk sedang, tambahkan air"
914,784,1266,8.74,11.8,16.85,4.04,561.63,620.16,Buruk,"tambahkan pupuk dikit, tambahkan air"
866,1164,296,6.56,23.83,32.07,3.99,170.29,3439.14,Buruk,"tambahkan pupuk sedang, tambahkan air"
1547,508,1096,8.97,28.44,34.36,5.48,559.36,5984.46,Buruk,"tambahkan pupuk dikit, tambahkan air"
1112,1685,359,6.93,14.25,19.79,5.86,281.41,5333.57,Buruk,"tambahkan pupuk dikit, tambahkan air"
594,1446,1489,7.91,26.67,24.99,2.52,479.84,2205.14,Buruk,"tambahkan pupuk sedang, tambahkan air"
972,279,695,4.53,23.89,24.89,7.95,684.57,2624.7,Buruk,"tambahkan pupuk dikit, tambahkan air"
385,953,1315,6.74,10.29,39.59,4.99,883.22,2633.48,Buruk,"tambahkan pupuk banyak, tambahkan air"
665,1282,1610,7.82,14.61,20.84,0.12,207.02,4537.98,Buruk,"tambahkan pupuk sedang, tambahkan air"
1280,136,633,8.02,22.06,31.45,5.93,898.61,2376.23,Buruk,"tambahkan pupuk dikit, tambahkan air"
657,505,123,5.21,20.0,38.49,7.99,420.54,1312.88,Buruk,"tambahkan pupuk sedang, tambahkan air"
1200,638,1042,6.39,20.51,39.89,2.54,851.61,4609.09,Buruk,"tambahkan pupuk dikit, tambahkan air"
1431,475,1198,6.39,14.62,35.0,0.43,536.92,3019.09,Buruk,"tambahkan pupuk dikit, tambahkan air"
273,355,1769,4.97,23.43,23.99,8.08,869.1,922.28,Buruk,"tambahkan pupuk sedang, cukup air"
1308,377,1022,6.49,15.3,39.69,9.76,679.68,4845.29,Buruk,"tambahkan pupuk dikit, tambahkan air"
831,348,1517,8.13,17.75,37.26,0.81,533.28,3719.21,Buruk,"tambahkan pupuk sedang, tambahkan air"
1237,792,778,5.85,17.34,36.13,9.38,346.91,3191.53,Buruk,"tambahkan pupuk dikit, tambahkan air"
1039,1140,1581,6.45,23.37,17.02,3.62,970.46,4203.39,Buruk,"tambahkan pupuk dikit, tambahkan air"
1111,1491,209,8.82,11.8,16.3,9.42,810.85,3279.52,Buruk,"tambahkan pupuk dikit, tambahkan air"
993,224,189,4.64,14.09,35.86,6.51,412.13,4066.31,Buruk,"tambahkan pupuk dikit, cukup air"
248,1435,136,7.16,13.99,43.34,8.91,208.39,5271.19,Buruk,"tambahkan pupuk banyak, tambahkan air"
1165,311,921,7.85,12.16,38.21,7.87,790.56,3874.33,Cukup,"tambahkan pupuk dikit, tambahkan air"
558,571,1092,7.92,14.13,39.94,0.33,990.45,4127.8,Buruk,"tambahkan pupuk sedang, tambahkan air"
441,848,1686,7.72,22.08,31.35,0.7,315.03,3876.21,Buruk,"tambahkan pupuk banyak, tambahkan air"
1276,1538,671,7.77,24.57,24.14,5.28,920.07,3421.49,Baik,"tambahkan pupuk banyak, tambahkan air"
1292,599,683,4.77,23.14,35.33,1.34,169.1,1445.85,Buruk,"tambahkan pupuk dikit, tambahkan air"
255,910,1763,6.9,19.46,36.36,4.64,954.6,2346.23,Buruk,"tambahkan pupuk banyak, tambahkan air"
1078,1835,406,8.02,11.04,35.26,9.55,758.07,4312.1,Cukup,"tambahkan pupuk dikit, tambahkan air"
454,988,161,4.92,29.08,43.4,2.98,379.27,2840.12,Buruk,"tambahkan pupuk banyak, tambahkan air"
204,1304,404,4.55,13.34,26.02,4.91,339.4,2733.71,Buruk,"tambahkan pupuk banyak, tambahkan air"
1275,1512,278,8.17,23.3,16.19,3.87,661.26,4675.98,Buruk,"tambahkan pupuk dikit, tambahkan air"
528,1765,639,7.71,28.17,42.25,6.32,613.83,530.63,Buruk,"tambahkan pupuk sedang, tambahkan air"
297,1756,1875,6.35,23.89,19.81,1.98,922.99,4234.47,Cukup,"tambahkan pupuk banyak, tambahkan air"
1384,1310,1031,8.73,14.34,35.92,2.64,777.93,3190.75,Baik,"tambahkan pupuk dikit, tambahkan air"
1180,1862,1867,7.95,16.28,41.2,8.59,563.35,2572.19,Buruk,"tambahkan pupuk dikit, tambahkan air"
1202,1797,1788,8.86,10.6,24.3,8.12,931.19,2372.95,Buruk,"tambahkan pupuk dikit, tambahkan air"
982,1747,1031,8.68,22.19,39.91,7.9,613.09,1450.82,Buruk,"tambahkan pupuk dikit, tambahkan air"
776,1591,944,6.67,22.2,24.96,7.72,857.2,2338.39,Buruk,"tambahkan pupuk sedang, tambahkan air"
526,1580,1567,7.9,24.44,38.83,4.62,848.9,2652.8,Cukup,"tambahkan pupuk sedang, tambahkan air"
442,1257,1642,7.51,10.22,17.09,7.3,923.24,2905.97,Buruk,"tambahkan pupuk banyak, tambahkan air"
566,1821,1700,8.15,26.28,34.66,3.9,114.22,4197.65,Buruk,"tambahkan pupuk sedang, tambahkan air"
973,274,1758,8.04,24.7,35.31,1.05,604.63,2994.64,Buruk,"tambahkan pupuk dikit, tambahkan air"
923,1384,1159,5.19,12.8,29.74,3.96,494.97,4879.56,Buruk,"tambahkan pupuk banyak, cukup air"
1377,416,849,5.55,16.92,35.61,1.63,516.02,4018.56,Buruk,"tambahkan pupuk dikit, tambahkan air"
433,1100,1601,5.7,22.71,42.7,3.94,486.92,1542.78,Baik,"tambahkan pupuk banyak, tambahkan air"
851,923,1196,8.18,19.87,37.02,3.01,845.59,2024.45,Buruk,"tambahkan pupuk dikit, cukup air"
532,969,1153,8.15,12.29,43.84,6.01,352.51,935.87,Buruk,"tambahkan pupuk sedang, tambahkan air"
694,1030,838,6.73,11.74,28.46,3.65,489.61,5701.47,Buruk,"tambahkan pupuk sedang, tambahkan air"
1338,986,1426,7.11,25.55,30.85,7.07,240.65,5376.03,Buruk,"tambahkan pupuk dikit, tambahkan air"
568,368,1470,8.22,13.1,22.91,5.15,289.13,966.38,Buruk,"tambahkan pupuk sedang, tambahkan air"
1556,1917,896,5.91,13.42,44.57,9.2,677.4,3657.42,Buruk,"tambahkan pupuk dikit, tambahkan air"
1353,569,1634,4.73,26.54,16.65,0.96,161.09,5782.21,Buruk,"tambahkan pupuk dikit, tambahkan air"
1401,323,1640,6.67,22.18,25.76,6.89,228.43,4609.29,Buruk,"tambahkan pupuk dikit, tambahkan air"
294,1375,1188,8.61,22.03,23.93,6.74,551.63,3204.97,Buruk,"tambahkan pupuk banyak, tambahkan air"
1540,1187,846,8.06,19.54,26.6,9.51,91.58,1826.07,Buruk,"tambahkan pupuk dikit, tambahkan air"
1106,1074,726,6.15,21.32,42.53,3.75,170.58,2034.7,Buruk,"tambahkan pupuk dikit, tambahkan air"
1324,1006,552,4.79,21.98,26.04,3.09,870.19,4549.31,Buruk,"tambahkan pupuk dikit, tambahkan air"
1419,929,930,7.37,29.26,42.51,1.77,853.84,4793.16,Buruk,"tambahkan pupuk sedang, tambahkan air"
1001,1587,857,8.26,14.44,27.7,2.69,380.39,3407.81,Buruk,"tambahkan pupuk dikit, tambahkan air"
407,1247,960,7.49,14.27,40.64,5.04,380.59,1165.22,Buruk,"tambahkan pupuk banyak, tambahkan air"
806,1705,1652,6.41,11.14,30.65,8.39,939.69,5636.28,Buruk,"tambahkan pupuk sedang, tambahkan air"
672,337,918,5.06,23.1,24.34,2.88,74.55,5146.2,Buruk,"tambahkan pupuk sedang, tambahkan air"
1231,174,1492,8.6,20.93,28.48,1.62,601.28,1272.96,Buruk,"tambahkan pupuk dikit, tambahkan air"
335,1565,1160,5.74,12.21,27.73,2.76,617.52,812.0,Buruk,"tambahkan pupuk banyak, tambahkan air"
809,599,1979,5.51,17.25,22.8,1.05,798.49,3447.27,Buruk,"tambahkan pupuk sedang, tambahkan air"
1110,1645,480,8.17,13.56,23.69,9.27,954.16,2062.78,Buruk,"tambahkan pupuk dikit, tambahkan air"
460,367,1342,8.92,16.6,20.59,8.73,388.04,2057.87,Buruk,"tambahkan pupuk banyak, tambahkan air"
1370,1610,748,7.47,28.93,25.08,3.12,465.94,979.72,Buruk,"tambahkan pupuk dikit, tambahkan air"
657,1086,345,7.31,23.6,33.73,2.51,687.73,5743.62,Buruk,"tambahkan pupuk sedang, tambahkan air"
431,1723,1673,5.94,10.15,26.6,9.06,968.91,5065.92,Buruk,"tambahkan pupuk banyak, tambahkan air"
300,1173,350,4.59,15.02,36.37,0.07,896.25,1126.09,Buruk,"tambahkan pupuk banyak, tambahkan air"
346,1778,664,5.36,10.21,44.61,6.03,683.7,5321.29,Buruk,"tambahkan pupuk banyak, tambahkan air"
916,1182,1008,7.13,24.23,26.31,9.16,863.89,4256.26,Buruk,"tambahkan pupuk banyak, cukup air"
706,1577,1469,5.18,19.34,28.88,5.11,130.94,2289.93,Buruk,"tambahkan pupuk sedang, tambahkan air"
757,1953,920,8.48,29.78,19.92,0.08,408.27,5291.88,Buruk,"tambahkan pupuk sedang, tambahkan air"
303,822,814,5.35,24.6,26.77,2.23,62.44,3789.12,Buruk,"tambahkan pupuk banyak, tambahkan air"
535,1195,571,6.85,20.31,36.8,9.23,218.6,5167.68,Buruk,"tambahkan pupuk sedang, tambahkan air"
645,1879,1684,6.8,26.01,21.52,0.22,648.97,3080.97,Buruk,"tambahkan pupuk sedang, tambahkan air"
933,1874,221,7.22,24.03,20.46,3.98,891.28,3253.58,Buruk,"tambahkan pupuk dikit, tambahkan air"
643,289,1449,5.97,14.85,26.29,7.91,651.14,2100.56,Buruk,"tambahkan pupuk sedang, tambahkan air"
317,1095,1651,8.43,20.55,39.56,8.39,680.93,2632.31,Buruk,"tambahkan pupuk banyak, tambahkan air"
1128,1685,880,6.5,21.06,33.71,4.8,148.63,3622.64,Buruk,"tambahkan pupuk dikit, tambahkan air"
922,1840,847,7.65,18.98,43.73,2.36,681.62,5708.83,Buruk,"tambahkan pupuk dikit, tambahkan air"
766,665,220,7.36,13.57,42.14,6.02,481.63,3800.65,Buruk,"tambahkan pupuk sedang, tambahkan air"
287,1945,238,5.03,14.45,19.53,2.67,668.87,1310.58,Buruk,"tambahkan pupuk banyak, tambahkan air"
675,1092,186,7.3,15.59,16.28,2.59,359.86,538.48,Buruk,"tambahkan pupuk sedang, tambahkan air"
494,835,229,6.98,10.2,26.97,8.09,602.41,5180.43,Buruk,"tambahkan pupuk banyak, tambahkan air"
919,255,351,8.54,28.25,30.66,1.58,452.87,2503.79,Buruk,"tambahkan pupuk banyak, cukup air"
1194,1995,1985,8.46,23.65,30.47,0.1,580.71,2232.31,Buruk,"tambahkan pupuk dikit, tambahkan air"
1506,1686,886,5.18,23.72,19.02,3.4,189.74,4904.02,Buruk,"tambahkan pupuk dikit, tambahkan air"
1043,1876,1483,4.87,21.39,18.74,4.94,426.03,5699.5,Buruk,"tambahkan pupuk dikit, tambahkan air"
885,1965,1936,5.83,23.72,16.41,7.07,405.56,4614.25,Buruk,"tambahkan pupuk dikit, cukup air"
838,772,1553,8.94,29.54,40.53,7.82,749.57,1456.16,Buruk,"tambahkan pupuk sedang, tambahkan air"
1379,1764,146,4.6,17.66,43.43,6.65,721.09,2652.58,Buruk,"tambahkan pupuk dikit, tambahkan air"
1403,1208,1714,7.53,24.18,18.47,6.28,913.42,4676.69,Buruk,"tambahkan pupuk dikit, tambahkan air"
1160,168,600,7.24,17.15,21.39,6.67,650.45,5488.09,Buruk,"tambahkan pupuk dikit, tambahkan air"
1134,1508,1933,7.41,27.0,17.7,2.75,348.82,5992.3,Baik,"tambahkan pupuk dikit, tambahkan air"
1089,472,1999,5.48,27.07,41.33,3.85,794.06,3313.58,Buruk,"tambahkan pupuk dikit, tambahkan air"
1113,154,524,5.52,27.96,43.76,6.18,522.15,5023.89,Buruk,"tambahkan pupuk dikit, tambahkan air"
1310,184,1498,6.44,10.11,22.85,0.7,233.82,756.47,Buruk,"tambahkan pupuk dikit, tambahkan air"
605,1980,1064,4.93,15.93,24.11,2.99,760.04,2072.04,Buruk,"tambahkan pupuk sedang, tambahkan air"
1490,1040,1977,4.84,12.67,25.88,4.09,175.9,2543.32,Buruk,"tambahkan pupuk dikit, tambahkan air"
1287,940,830,4.9,19.03,30.07,5.36,219.25,5865.38,Buruk,"tambahkan pupuk dikit, tambahkan air"
318,691,210,7.08,19.86,35.47,4.89,770.82,518.67,Buruk,"tambahkan pupuk banyak, tambahkan air"
540,831,1350,6.29,15.09,30.13,7.2,781.64,2194.11,Buruk,"tambahkan pupuk sedang, tambahkan air"
512,721,1910,5.82,24.4,43.53,4.76,801.24,5617.27,Buruk,"tambahkan pupuk sedang, tambahkan air"
362,1888,1891,5.92,15.37,18.0,9.05,328.66,2186.73,Buruk,"tambahkan pupuk banyak, tambahkan air"
492,1108,1162,5.43,26.99,38.96,3.83,873.26,1737.87,Buruk,"tambahkan pupuk banyak, tambahkan air"
889,416,234,6.35,13.54,25.03,5.28,736.53,4515.49,Buruk,"tambahkan pupuk sedang, tambahkan air"
1600,1287,1418,5.41,17.31,26.33,0.08,842.27,4599.36,Buruk,"tambahkan pupuk dikit, tambahkan air"
872,1738,709,7.64,22.38,36.26,3.14,723.18,3096.98,Buruk,"tambahkan pupuk sedang, tambahkan air"
598,724,1157,5.06,22.05,42.88,8.67,600.62,5708.05,Buruk,"tambahkan pupuk sedang, tambahkan air"
1108,351,1086,8.77,11.55,36.49,3.37,153.93,1614.89,Buruk,"tambahkan pupuk dikit, tambahkan air"
686,251,527,4.9,26.84,38.28,2.57,725.39,5523.79,Buruk,"tambahkan pupuk sedang, tambahkan air"
1247,1459,1191,8.75,21.9,37.52,5.46,705.94,4655.29,Buruk,"tambahkan pupuk dikit, tambahkan air"
1282,1009,1826,8.25,27.31,24.63,0.83,346.87,2525.15,Buruk,"tambahkan pupuk dikit, tambahkan air"
948,1491,298,7.56,27.27,37.71,5.34,749.03,4938.0,Buruk,"tambahkan pupuk dikit, tambahkan air"
439,1886,659,8.61,20.86,38.54,3.07,572.93,1232.61,Buruk,"tambahkan pupuk banyak, tambahkan air"
510,965,358,5.13,28.12,31.0,3.86,581.44,1220.4,Buruk,"tambahkan pupuk sedang, tambahkan air"
520,699,824,5.29,26.88,31.1,7.92,399.22,5614.65,Buruk,"tambahkan pupuk sedang, tambahkan air"
871,1106,773,5.63,29.07,37.79,6.64,160.95,1021.29,Buruk,"tambahkan pupuk sedang, tambahkan air"
771,1070,1748,5.6,26.92,39.51,4.49,256.08,522.44,Buruk,"tambahkan pupuk sedang, tambahkan air"
613,1104,236,5.9,26.34,25.12,5.8,780.39,2639.67,Baik,"tambahkan pupuk sedang, tambahkan air"
1545,1223,1952,7.09,19.34,39.05,7.68,307.87,1071.18,Buruk,"tambahkan pupuk dikit, tambahkan air"
601,1243,1015,4.63,14.22,39.43,7.47,52.14,5246.7,Buruk,"tambahkan pupuk sedang, tambahkan air"
258,1508,1035,6.22,28.12,22.02,1.89,997.17,5574.81,Buruk,"tambahkan pupuk banyak, tambahkan air"
252,402,480,5.61,24.38,36.51,3.04,250.15,3153.35,Buruk,"tambahkan pupuk banyak, tambahkan air"
1287,1839,1647,7.23,15.61,20.6,3.51,672.61,2840.09,Cukup,"tambahkan pupuk dikit, tambahkan air"
832,1272,1994,8.93,16.79,17.79,1.92,930.58,3464.72,Buruk,"tambahkan pupuk sedang, tambahkan air"
1342,1324,337,6.83,23.65,32.24,0.17,619.73,1744.07,Buruk,"tambahkan pupuk dikit, tambahkan air"
485,1930,1407,6.42,19.51,42.26,1.78,809.08,2138.81,Buruk,"tambahkan pupuk banyak, tambahkan air"
217,1126,787,6.16,11.62,16.06,8.09,977.55,1055.37,Buruk,"tambahkan pupuk banyak, tambahkan air"
1228,499,1860,8.03,12.81,39.8,5.48,867.35,2955.48,Buruk,"tambahkan pupuk dikit, tambahkan air"
359,167,557,4.82,24.84,30.19,3.45,580.01,3864.3,Buruk,"tambahkan pupuk banyak, tambahkan air"
341,253,1710,8.82,16.54,40.83,6.1,395.52,5616.23,Buruk,"tambahkan pupuk banyak, tambahkan air"
596,1114,1258,6.38,20.1,40.3,7.41,508.34,4564.9,Buruk,"tambahkan pupuk sedang, tambahkan air"
1241,1617,181,5.91,25.26,41.26,3.58,849.73,4476.85,Buruk,"tambahkan pupuk dikit, tambahkan air"
779,281,694,8.88,24.95,38.07,4.69,860.69,2193.99,Buruk,"tambahkan pupuk sedang, tambahkan air"
1337,624,753,8.71,13.32,40.29,0.69,853.56,5385.61,Buruk,"tambahkan pupuk dikit, tambahkan air"
733,288,1332,7.39,11.96,20.28,5.99,617.36,5708.26,Buruk,"tambahkan pupuk sedang, tambahkan air"
1110,119,1850,4.58,21.76,24.12,3.6,503.11,5627.45,Buruk,"tambahkan pupuk dikit, tambahkan air"
660,950,502,7.87,24.76,22.27,4.36,345.77,713.42,Buruk,"tambahkan pupuk sedang, tambahkan air"
485,1406,921,6.01,12.97,37.27,4.25,53.19,3823.93,Buruk,"tambahkan pupuk banyak, tambahkan air"
1228,997,1890,6.25,17.4,19.61,6.34,776.26,4037.74,Buruk,"tambahkan pupuk dikit, tambahkan air"
328,109,287,5.21,27.32,20.47,5.75,313.15,2122.86,Buruk,"tambahkan pupuk banyak, tambahkan air"
1155,799,592,6.86,28.79,41.37,4.25,363.19,5958.27,Buruk,"tambahkan pupuk dikit, tambahkan air"
870,1980,1882,7.85,19.04,36.18,0.22,851.31,2101.53,Buruk,"tambahkan pupuk sedang, tambahkan air"
698,1654,354,5.73,11.58,41.26,6.23,99.64,1691.36,Buruk,"tambahkan pupuk sedang, tambahkan air"
475,754,1446,8.72,15.13,19.18,8.8,931.24,3162.8,Buruk,"tambahkan pupuk banyak, tambahkan air"
1306,1738,1797,5.38,14.64,26.97,7.71,51.29,2277.31,Buruk,"tambahkan pupuk dikit, tambahkan air"
1341,1426,1980,4.8,14.76,23.49,9.82,942.21,5582.16,Buruk,"tambahkan pupuk dikit, tambahkan air"
228,340,524,7.4,19.83,15.29,1.43,482.02,2920.42,Buruk,"tambahkan pupuk banyak, tambahkan air"
1204,251,1538,8.32,21.61,23.54,2.26,147.02,2755.82,Buruk,"tambahkan pupuk dikit, tambahkan air"
1581,883,1290,8.79,12.44,26.39,5.42,690.45,3942.24,Buruk,"tambahkan pupuk dikit, tambahkan air"
849,1460,1713,7.95,27.7,17.77,2.4,901.06,946.13,Buruk,"tambahkan pupuk sedang, tambahkan air"
1380,287,584,5.4,22.34,31.99,0.39,466.17,4662.03,Buruk,"tambahkan pupuk dikit, tambahkan air"
230,563,535,8.9,21.89,26.5,4.05,706.79,4726.19,Buruk,"tambahkan pupuk banyak, tambahkan air"
1042,821,1810,8.64,29.65,16.39,2.91,980.39,3107.14,Buruk,"tambahkan pupuk dikit, tambahkan air"
1509,1300,1655,5.23,22.5,36.12,2.67,278.67,5756.34,Buruk,"tambahkan pupuk dikit, tambahkan air"
535,999,1731,7.01,28.49,36.88,9.53,829.43,3686.37,Buruk,"tambahkan pupuk sedang, tambahkan air"
769,805,1604,7.0,15.7,40.03,2.42,330.48,4323.8,Buruk,"tambahkan pupuk banyak, cukup air"
512,1300,279,6.49,14.78,29.57,1.34,455.02,5583.9,Buruk,"tambahkan pupuk sedang, tambahkan air"
798,980,1730,8.93,20.28,44.06,1.3,317.68,4164.9,Buruk,"tambahkan pupuk sedang, tambahkan air"
1346,514,1194,4.77,20.12,42.42,8.07,473.71,2875.04,Buruk,"tambahkan pupuk dikit, tambahkan air"
1064,677,1825,7.32,14.51,31.54,7.16,54.83,636.24,Buruk,"tambahkan pupuk dikit, tambahkan air"
570,409,1000,5.42,23.92,28.35,1.34,338.27,4505.65,Buruk,"tambahkan pupuk sedang, tambahkan air"
1004,1125,1564,6.87,10.59,15.09,2.24,473.03,5806.76,Buruk,"tambahkan pupuk dikit, tambahkan air"
513,416,743,8.01,23.74,36.33,7.49,650.63,3086.29,Buruk,"tambahkan pupuk sedang, tambahkan air"
227,1906,238,5.61,19.1,31.95,2.78,655.49,2368.73,Buruk,"tambahkan pupuk banyak, tambahkan air"
1378,1632,886,6.27,23.71,43.13,9.82,604.6,3355.93,Buruk,"tambahkan pupuk dikit, tambahkan air"
1165,1119,201,8.78,19.49,32.83,5.43,328.38,4506.4,Buruk,"tambahkan pupuk dikit, tambahkan air"
1453,1695,567,7.93,29.45,44.79,1.96,950.03,503.8,Buruk,"tambahkan pupuk dikit, tambahkan air"
1229,467,382,7.08,16.66,40.61,8.6,422.37,5379.66,Buruk,"tambahkan pupuk dikit, tambahkan air"
672,654,1152,5.5,29.55,43.61,3.23,256.05,5375.0,Buruk,"tambahkan pupuk sedang, tambahkan air"
1541,704,117,6.41,11.29,24.83,2.92,576.79,3477.14,Buruk,"tambahkan pupuk dikit, tambahkan air"
1448,1349,855,7.98,23.61,19.48,3.31,761.48,1173.08,Buruk,"tambahkan pupuk dikit, tambahkan air"
1256,1035,786,8.19,19.04,38.91,7.69,61.62,4194.93,Buruk,"tambahkan pupuk dikit, tambahkan air"
288,579,1631,5.6,26.36,38.59,1.77,312.53,1258.15,Buruk,"tambahkan pupuk banyak, tambahkan air"
1557,1080,700,7.48,25.71,21.34,3.85,833.73,3291.51,Buruk,"tambahkan pupuk dikit, tambahkan air"
239,1921,1143,4.93,25.92,37.94,0.36,531.67,1014.96,Buruk,"tambahkan pupuk banyak, tambahkan air"
880,1186,1449,4.6,11.89,32.46,8.27,438.06,3739.86,Buruk,"tambahkan pupuk sedang, tambahkan air"
574,1403,1479,6.97,26.37,18.29,3.44,934.36,2249.38,Buruk,"tambahkan pupuk sedang, tambahkan air"
1521,1039,532,5.51,14.26,30.05,2.52,135.06,5070.45,Buruk,"tambahkan pupuk dikit, tambahkan air"
1197,113,1522,4.86,10.51,42.93,5.82,634.79,4899.7,Buruk,"tambahkan pupuk dikit, tambahkan air"
592,127,1141,7.78,14.33,30.19,7.06,375.08,5991.61,Buruk,"tambahkan pupuk sedang, tambahkan air"
1241,241,1673,6.74,19.54,38.66,8.14,117.28,1916.27,Buruk,"tambahkan pupuk dikit, tambahkan air"
331,1743,475,8.08,24.77,15.87,3.51,253.06,839.91,Buruk,"tambahkan pupuk banyak, tambahkan air"
489,1925,1724,7.49,14.35,36.84,8.13,646.54,2936.52,Buruk,"tambahkan pupuk banyak, tambahkan air"
1005,689,1463,7.78,12.25,43.41,4.68,76.86,958.72,Buruk,"tambahkan pupuk dikit, tambahkan air"
408,1882,1273,5.88,22.85,29.99,1.06,612.64,1481.75,Buruk,"tambahkan pupuk banyak, tambahkan air"
526,572,1110,5.68,29.58,25.13,8.47,959.01,3785.15,Buruk,"tambahkan pupuk dikit, tambahkan air"
1191,1647,815,7.2,21.96,34.4,5.5,805.34,3756.72,Buruk,"tambahkan pupuk dikit, tambahkan air"
702,1307,1356,5.4,23.75,42.49,6.04,378.32,738.3,Buruk,"tambahkan pupuk sedang, tambahkan air"
478,416,1227,8.17,21.17,20.3,9.38,181.3,2935.98,Buruk,"tambahkan pupuk banyak, tambahkan air"
987,1484,1123,6.85,25.57,27.11,5.61,491.81,3416.2,Buruk,"tambahkan pupuk dikit, tambahkan air"
1206,544,1746,5.52,29.42,19.69,0.11,423.3,1974.13,Buruk,"tambahkan pupuk banyak, tambahkan air"
1151,395,836,7.31,20.83,29.9,8.71,973.15,5296.24,Cukup,"tambahkan pupuk dikit, tambahkan air"
1532,503,320,8.75,18.29,31.21,2.88,990.37,1386.04,Buruk,"tambahkan pupuk dikit, tambahkan air"
476,851,1149,4.87,27.12,43.33,5.04,440.06,1896.46,Buruk,"tambahkan pupuk banyak, tambahkan air"
1299,362,1187,4.99,29.3,27.38,2.09,191.34,1363.47,Buruk,"tambahkan pupuk dikit, tambahkan air"
497,946,353,8.3,12.57,32.01,3.0,915.08,1141.01,Buruk,"tambahkan pupuk banyak, tambahkan air"
632,476,1372,4.99,21.51,41.56,6.88,803.87,5334.39,Baik,"tambahkan pupuk sedang, tambahkan air"
1209,684,835,4.68,25.77,24.64,4.32,535.71,2028.23,Buruk,"tambahkan pupuk dikit, tambahkan air"
1335,1191,925,6.07,20.61,35.22,6.29,397.09,4473.88,Buruk,"tambahkan pupuk dikit, tambahkan air"
1295,898,1254,6.6,18.14,37.71,8.24,475.76,2853.9,Cukup,"tambahkan pupuk dikit, cukup air"
516,570,129,7.06,23.04,24.92,3.44,906.79,3997.3,Buruk,"tambahkan pupuk sedang, tambahkan air"
1244,1961,886,6.78,15.38,19.93,5.7,225.41,5604.97,Cukup,"tambahkan pupuk dikit, tambahkan air"
1411,831,109,8.61,16.95,30.09,7.79,816.44,5145.34,Buruk,"tambahkan pupuk dikit, tambahkan air"
320,1071,1212,7.96,29.75,25.7,7.17,67.28,879.43,Buruk,"tambahkan pupuk banyak, tambahkan air"
1565,146,529,8.93,22.67,22.99,5.42,924.54,5148.61,Buruk,"tambahkan pupuk dikit, tambahkan air"
852,1046,1270,6.64,27.37,44.2,3.86,525.28,2985.03,Buruk,"tambahkan pupuk sedang, tambahkan air"
503,1181,1250,4.88,26.07,30.06,4.1,265.41,2425.8,Buruk,"tambahkan pupuk sedang, tambahkan air"
1135,123,797,8.8,22.98,40.69,4.36,52.71,4198.13,Buruk,"tambahkan pupuk dikit, tambahkan air"
920,1413,223,4.52,26.73,20.86,3.52,581.57,5726.14,Buruk,"tambahkan pupuk dikit, tambahkan air"
695,930,1742,7.99,15.71,43.18,7.01,282.26,1017.75,Buruk,"tambahkan pupuk sedang, tambahkan air"
384,1567,1464,4.64,22.68,38.83,1.3,649.7,4724.42,Buruk,"tambahkan pupuk banyak, tambahkan air"
1087,502,1641,7.93,21.75,39.26,9.68,317.11,1619.29,Buruk,"tambahkan pupuk dikit, tambahkan air"
1007,1147,150,8.72,22.39,26.69,7.8,133.62,2590.75,Buruk,"tambahkan pupuk dikit, tambahkan air"
531,1187,497,6.25,13.36,29.57,3.02,529.8,5306.03,Buruk,"tambahkan pupuk sedang, tambahkan air"
912,1890,413,5.58,15.52,32.8,0.47,586.26,3501.9,Buruk,"tambahkan pupuk dikit, tambahkan air"
775,1783,747,5.52,15.7,38.69,7.13,479.96,871.01,Buruk,"tambahkan pupuk sedang, tambahkan air"
549,1751,613,6.71,21.98,40.47,7.36,485.13,3294.27,Buruk,"tambahkan pupuk sedang, tambahkan air"
1037,1733,601,5.27,29.35,17.34,9.64,610.17,4843.03,Buruk,"tambahkan pupuk dikit, tambahkan air"
519,1362,629,7.53,28.99,42.12,2.57,550.04,3408.84,Buruk,"tambahkan pupuk sedang, tambahkan air"
736,382,1884,6.16,14.52,43.12,0.87,175.94,1417.89,Buruk,"tambahkan pupuk sedang, tambahkan air"
611,1565,796,5.95,16.07,32.79,9.16,237.23,2947.73,Buruk,"tambahkan pupuk sedang, tambahkan air"
1105,1423,833,6.58,10.72,20.6,2.62,184.7,5583.9,Buruk,"tambahkan pupuk dikit, tambahkan air"
1379,192,1863,6.94,17.94,39.55,7.23,708.63,4120.12,Cukup,"tambahkan pupuk dikit, tambahkan air"
732,1700,959,5.14,26.61,31.46,0.65,552.17,4514.38,Buruk,"tambahkan pupuk sedang, tambahkan air"
701,1498,518,7.68,28.22,39.52,7.62,458.36,4822.65,Buruk,"tambahkan pupuk sedang, tambahkan air"
1377,785,293,8.47,14.71,39.44,1.31,808.42,998.81,Buruk,"tambahkan pupuk dikit, tambahkan air"
1113,409,411,5.75,15.29,17.6,6.97,359.5,3698.45,Buruk,"tambahkan pupuk dikit, tambahkan air"
